Team,ELO
T1,1923.7657001380448
Team Liquid Honda,1817.0732188771808
Gen.G,1703.9002451518954
Dplus Kia,1701.6953436600252
Fnatic,1671.4537585711507
KOI,1660.407431154818
Evil Geniuses LG,1640.1630751506684
Misfits Gaming,1617.7284738029043
G2 Esports,1558.412148818871
Kwangdong Freecs,1527.050783100938
SK Gaming,1520.717667362147
DRX,1504.600139817322
Cloud9,1499.6199542995068
Team Vitality,1496.4246758135569
kt Rolster,1488.7419187031117
Dignitas,1486.645128287992
MAD Lions,1479.756397615226
CLG,1477.4782906406774
100 Thieves,1466.6870452833364
EXCEL,1461.9382956804952
OKSavingsBank BRION,1451.5178700441577
FlyQuest,1447.299342540805
TSM,1401.459667414539
Golden Guardians,1400.753830084402
Immortals Progressive,1362.8204474208924
NongShim REDFORCE,1328.493237797433
Astralis,1275.4870181188319
Team BDS,1257.674133061999
Liiv SANDBOX,1213.8552917968532
Hanwha Life Esports,1156.3794697902197
