League ID,League Name,League Slug,Tournaments
98767991299243165,LCS,lcs,"['110303581083678395', '109517090066605615', '108206581962155974', '107458367237283414', '107458335260330212', '105658534671026792', '105788932118361426', '109428868589633757', '105522217230238828', '104174992692075107', '103462439438682788', '108300620375000370', '108294935083112239', '108288780705657082', '108283378783680768', '108007809203463350', '107784927885285215', '107744640257699883', '106972812538132507', '107741488941545959', '107045060626269295', '107719921883398026', '107697401518332544', '107656643139734824', '107620592294752774']"
109511549831443335,LCS Challengers,north_american_challenger_league,"['110574243270525539', '109518697660746274']"
109518549825754242,LCS Challengers Qualifiers,lcs_challengers_qualifiers,"['110894544221659776', '110733838935136200', '110428603624764603', '110138704782649096', '109974742840567627', '109518742310926152']"
107898214974993351,College Championship,college_championship,['107898708099217418']
98767991332355509,CBLOL,cblol-brazil,"['110413046183015975', '109523641416750631', '108211865716506571', '107405837336179496', '106297375705058741', '105539760572983266', '104202471497759152', '103478354329449186', '102147202571739078', '101383793244817602', '100205576338370838', '99566408235138456']"
98767991310872058,LCK,lck,"['110909366079472439', '110371551277508787', '109625152894842837', '108797577868041021', '108195478954601542', '107418445247362001', '106840590962292347', '106269654659501670', '105522984810490982', '104174613295388764', '103540363364808496', '102181142473043418', '109478595377766234', '109473592653126678', '101388913417992988', '100205573522838487', '109472224539377660', '109468403671242972', '99566404601075616', '109467297671986286', '109462843692030951', '109461739707114350', '109461292917902160', '109445541215037058', '109444869705769128', '109441091720628455', '109440642555058105', '109440320603801592', '109434488623686609', '109434103072103929', '109433362199747894', '109479322498002624']"
98767991355908944,LCL,lcl,"['107417471555810057', '106269769724268826', '105663539171928276', '110429321464170890', '110412360196989975', '110435858786009956', '110435531035300377', '110441433278896011', '110441119491168485', '110452684391414465', '110446876240436729', '110458354672238716', '110453006238802559']"
105709090213554609,LCO,lco,"['109675608880518030', '109675619694467439', '108197674522551242', '107439320897210747', '106273204408903419', '105747961298296953', '109639302112483684', '109632411128070811']"
98767991302996019,LEC,lec,"['110848560874526298', '110429332688604205', '109919226376366902', '109466537705744120', '108176672283976661', '107417059262120466', '106269680921022418', '105522958532258735', '104169295253189561', '103462459318635408', '109427822736905228', '102147201778412187', '109427411147317375', '101383793622305540', '109423067696022268', '100205575629449176', '109421587469439501', '99322214712278618', '109407348769591764', '109188748532737193', '109189749746037163', '109188863217118371', '109218068328726599', '109212709764395955', '109229629611154474', '109218949924663566', '109349946712116171', '109274702204084948']"
98767991349978712,LJL,ljl-japan,"['110395308894756789', '109710208772220245', '108231751506773283', '107455808271204256', '106269757536651711', '105562833911566614', '104169308670244006', '103540397353089204', '102147204088046087', '101428372650853326', '109055718152043307', '109054419919088344', '109031138017871490', '109030936392726416', '109030266425341631', '109030099487086096']"
101382741235120470,LLA,lla,"['110411420269584926', '109672513958565698', '108916413227302339', '108197521933954516', '107530554766055254', '106845973122821257', '106269744788213905', '105551618304300204', '104237136838348356', '103540419468532110', '102147203732523011', '101383792604229595']"
98767991314006698,LPL,lpl,"['110825936250664572', '110428848766564346', '109669600527985422', '108888310291632913', '108431300950695970', '107417779630700437', '106860829994219982', '106269484328946755', '105516880821527383', '104282610668475466', '103462420723438502', '102181141746404105', '101388912982111577', '100205574095502272', '99566404873639114']"
104366947889790212,PCS,pcs,"['110847340080101648', '110423696147088301', '110017385374098523', '109704924270305512', '108166997301178190', '107693721179065689', '106269875362449980', '108883606278048211', '104372946599464241', '108795630627503777']"
98767991343597634,TCL,turkiye-sampiyonluk-ligi,"['110429898578299667', '109467188125028146', '108197589213750000', '107566408953200568', '106269459003590888', '105562822074055437', '104248884617992857', '103495775740097550', '102235771755352569', '101422616581636308', '100205576975941700', '99566406080517611', '109189886261421571']"
107213827295848783,VCS,vcs,"['110416959491275651', '109749565997987636', '109067014926424947', '109066101880117809', '107256578722475733']"
98767991325878492,MSI,msi,"['110198981276611770', '107905284983470149', '105873410870441926', '101978171914014519', '100205573044644938', '109383739753133748', '109381717382073421']"
98767975604431411,Worlds,worlds,"['108998961191900167', '106926282333089592', '104841804583318464', '102804906674705057', '100783238182986407', '98767991971246908', '109381371670969695', '109393484577193964', '107385933322514307', '107125010264727827']"
98767991295297326,All-Star Event,all-star,"['105386292089445027', '103240747053720909', '101157821672845982']"
100695891328981122,EMEA Masters,emea_masters,"['110535609415063567', '110016463793610620', '110016413865287161', '108746562333593659', '108746545967156991', '107893386210553711', '107893136888836553', '106748850929174796', '106744065768553123', '105990084003609117', '105945560578760612', '104727755399361381', '103936903203607374', '102804705856335355']"
105266103462388553,La Ligue Française,lfl,"['110424922266960422', '109467129925344897', '108158179538212767', '107468370558963709', '106313258182079617', '105568157420311272']"
105266098308571975,NLC,nlc,"['110425082378454783', '109467209705050129', '108172137675600410', '107417432877679361', '106340473013395166', '105562790070504659']"
107407335299756365,Elite Series,elite_series,"['110424377524465827', '109467335886224883', '108172713549542364', '107563481236862420']"
105266101075764040,Liga Portuguesa,liga_portuguesa,"['110425027634430773', '109467367966036144', '108171576055718204', '107417530552861626', '106311748110571694', '105596427125578664']"
105266094998946936,PG Nationals,pg_nationals,"['110444946767792846', '109539799647393670', '108166853206827117', '107457033672415830', '106319725617882570', '105539775517396799']"
105266088231437431,Ultraliga,ultraliga,"['110310652404523974', '109539822190865259', '108171991239909862', '107416436272657995', '106301901327374691', '105562656842928291']"
105266074488398661,SuperLiga,superliga,"['110349992504762921', '109467087406180264', '108171648025800968', '107468241207873310', '106312505037543791', '105562529622379161']"
105266091639104326,Prime League,primeleague,"['110343648526792583', '109539770333903339', '108158210393938046', '107417741193036913', '106305935741165084', '105562556573338448']"
105266106309666619,Hitpoint Masters,hitpoint_masters,"['110444842958969834', '109467357559212289', '108155621258059329', '107575089348919003', '106419362022708584', '105596516630284353']"
105266111679554379,Esports Balkan League,esports_balkan_league,"['110418013822985087', '109467260897553204', '108155414582681011', '107468404707086558', '106385973090763431', '105596416963238709']"
105266108767593290,Greek Legends League,greek_legends,"['110428723804419399', '109467311739792322', '108171529103782009', '107575345394138670', '106295147953460518', '105522904800920947']"
109545772895506419,Arabian League,arabian_league,"['110422923164198764', '109545777182748074']"
108203770023880322,LCK Academy,lck_academy,['108256075285852973']
106827757669296909,LJL Academy,ljl_academy,"['110507407705819578', '108216929091956060', '106828136191077157']"
98767991335774713,LCK Challengers,lck_challengers_league,"['110378429156980338', '109625523800645158', '108211175216687366', '107439257586040014', '106308351107145908', '105562431502825774']"
105549980953490846,CBLOL Academy,cblol_academy,"['110413232002702589', '109523665497010762', '108211948453261786', '107565607659994755', '106269705187845648', '105562692792011783']"
110371976858004491,North Regional League,north_regional_league,['110372140231846916']
110372322609949919,South Regional League,south_regional_league,['110372454557117766']
108001239847565215,TFT Rising Legends,tft_esports,"['109761195185432372', '108398603512314614']"
